Company,Sector,Industry,CompanyType,HeadquartersState,2023_Rank,2023_Profitable,2023_Founder_is_CEO,2023_FemaleCEO,2023_Growth_in_Jobs,2023_Change_in_Rank,2023_Gained_in_Rank,2023_Dropped_in_Rank,2023_Newcomer_to_the_Fortune500,2023_Global500,2023_Best_Companies,2023_Number_of_employees,2023_MarketCap_March31_M,2023_Revenues_M,2023_RevenuePercentChange,2023_Profits_M,2023_ProfitsPercentChange,2023_Assets_M,2023_CEO,2023_MarketCap_Updated_M,2023_Year,2024_Rank,2024_Profitable,2024_Founder_is_CEO,2024_FemaleCEO,2024_Growth_in_Jobs,2024_Change_in_Rank,2024_Gained_in_Rank,2024_Dropped_in_Rank,2024_Newcomer_to_the_Fortune500,2024_Global500,2024_Worlds_Most_Admired_Companies,2024_Best_Companies_to_Work_For,2024_Number_of_employees,2024_MarketCap_March28_M,2024_Revenues_M,2024_RevenuePercentChange,2024_Profits_M,2024_ProfitsPercentChange,2024_Assets_M,2024_CEO,2024_MarketCap_Updated_M,2024_Year
Sherwin-Williams,Chemicals,Chemicals,Public,Ohio,178,yes,no,no,yes,-3,no,yes,no,no,no,64366,58090,22149,11,2020,8,22594,John G. Morikis,58090,2023,176,yes,no,yes,no,2,yes,no,no,no,yes,no,64088,88255,23052,4,2389,18,22954,Heidi G. Petz,88255,2024
Signature Bank,Financials,Commercial Banks,Public,New York,788,yes,no,no,yes,168,yes,no,,no,no,2243,12,3711,61,1337,46,110364,Joseph J. DePaolo,12,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Silgan Holdings,Materials,"Packaging, Containers",Public,Connecticut,540,yes,no,no,no,8,yes,no,,no,no,15425,5908,6412,13,341,-5,7346,Adam J. Greenlee,5908,2023,572,yes,no,no,no,-32,no,yes,,no,no,no,14400,5185,5988,-7,326,-4,7611,Adam J. Greenlee,5185,2024
Simon Property Group,Financials,Real estate,Public,Indiana,624,yes,no,no,yes,-31,no,yes,,no,no,2900,36585,5291,3,2140,-5,33011,David E. Simon,36585,2023,589,yes,no,no,no,35,yes,no,,no,yes,no,2750,50980,5659,7,2283,7,34284,David E. Simon,50980,2024
Sinclair,Media,Entertainment,Public,Maryland,754,yes,no,no,no,-237,no,yes,,no,no,7900,1194,3928,-36,2652,0,6704,Christopher S. Ripley,1194,2023,866,no,no,no,no,-112,no,yes,,no,no,no,7300,857,3134,-20,-291,-111,6085,Christopher S. Ripley,857,2024
SiteOne Landscape Supply,Wholesalers,Wholesalers: Diversified,Public,Georgia,741,yes,no,no,yes,15,yes,no,,no,no,6785,6156,4015,16,245,3,2534,Doug Black,6156,2023,706,yes,no,no,yes,35,yes,no,,no,no,no,7585,7887,4301,7,173,-29,2829,Doug Black,7887,2024
Skechers U.S.A.,Apparel,Apparel,Public,California,488,yes,yes,no,yes,18,yes,no,yes,no,no,11450,7379,7445,18,373,-50,6894,Robert Greenberg,7379,2023,465,yes,yes,no,yes,23,yes,no,no,no,no,no,13550,9390,8000,8,546,46,7547,Robert Greenberg,9390,2024
SkyWest,Transportation,Airlines,Public,Utah,894,yes,no,no,no,0,,,,no,no,12717,1082,3005,11,73,-35,7415,Russell A. Childs,1082,2023,903,yes,no,no,no,-9,no,yes,,no,no,no,12296,2788,2935,-2,34,-53,7026,Russell A. Childs,2788,2024
Skyworks Solutions,Technology,Semiconductors and Other Electronic Components,Public,California,605,yes,no,no,yes,-10,no,yes,,no,no,11150,18777,5486,7,1275,-15,8874,Liam K. Griffin,18777,2023,661,yes,no,no,no,-56,no,yes,,no,no,no,9701,17379,4772,-13,983,-23,8427,Liam K. Griffin,17379,2024
SM Energy,Energy,"Mining, Crude-Oil Production",Public,Colorado,840,yes,no,no,yes,65,yes,no,,no,no,539,3394,3359,28,1112,2969,5716,Herbert S. Vogel,3394,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Snap,Technology,Internet Services and Retailing,Public,California,684,no,yes,no,no,-1,no,yes,,no,no,5288,17727,4602,12,-1430,0,8030,Evan Spiegel,17727,2023,679,no,yes,no,yes,5,yes,no,,no,no,no,5289,18949,4606,0,-1322,0,7968,Evan Spiegel,18949,2024
Snap-on,Industrials,Industrial Machinery,Public,Wisconsin,661,yes,no,no,yes,-20,no,yes,,no,no,12900,13117,4843,5,912,11,6973,Nicholas T. Pinchuk,13117,2023,638,yes,no,no,yes,23,yes,no,,no,no,no,13200,15652,5108,6,1011,11,7545,Nicholas T. Pinchuk,15652,2024
Sonic Automotive,Retailing,"Automotive Retailing, Services",Public,North Carolina,299,yes,no,no,yes,1,yes,no,no,no,no,10300,1930,14001,13,89,-75,4978,David Bruton Smith,1930,2023,296,yes,no,no,yes,3,yes,no,no,no,no,no,10500,1942,14372,3,178,101,5365,David Bruton Smith,1942,2024
Sonoco Products,Materials,"Packaging, Containers",Public,South Carolina,498,yes,no,no,yes,58,yes,no,yes,no,no,22000,5975,7251,30,466,0,7053,R. Howard Coker,5975,2023,524,yes,no,no,yes,-26,no,yes,,no,no,no,23000,5666,6781,-6,475,2,7192,R. Howard Coker,5666,2024
Southern,Energy,Utilities: Gas and Electric,Public,Georgia,138,yes,no,no,yes,15,yes,no,no,no,no,27562,75948,29279,27,3524,47,134891,Christopher C. Womack,75948,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Southwest Airlines,Transportation,Airlines,Public,Texas,165,yes,no,no,yes,69,yes,no,no,no,no,66656,19338,23814,51,539,-45,35369,Robert E. Jordan,19338,2023,159,yes,no,no,yes,6,yes,no,no,no,yes,no,74806,17417,26091,10,465,-14,36487,Robert E. Jordan,17417,2024
Southwest Gas Holdings,Energy,Utilities: Gas and Electric,Public,Nevada,653,no,no,yes,yes,75,yes,no,,no,no,13614,4454,4960,35,-203,-201,13197,Karen S. Haller,4454,2023,610,yes,no,yes,yes,43,yes,no,,no,no,no,14943,5454,5434,10,151,0,11870,Karen S. Haller,5454,2024
Southwestern Energy,Energy,"Mining, Crude-Oil Production",Public,Texas,275,yes,no,no,yes,211,yes,no,no,no,no,1118,5506,15002,125,1849,0,12926,William J. Way,5506,2023,539,yes,no,no,yes,-264,no,yes,,no,no,no,1165,8349,6522,-56,1557,-16,11991,William J. Way,8349,2024
SpartanNash,Wholesalers,Wholesalers: Food and Grocery,Public,Michigan,399,yes,no,no,yes,-7,no,yes,no,no,no,14000,870,9643,8,35,-53,2307,Tony B. Sarsam,870,2023,403,yes,no,no,no,-4,no,yes,no,no,no,no,13500,700,9729,1,52,51,2356,Tony B. Sarsam,700,2024
Spectrum Brands Holdings,Household Products,Household and Personal Products,Public,Wisconsin,667,yes,no,no,no,163,yes,no,,no,no,11000,2715,4785,4,72,-62,5776,David M. Maura,2715,2023,754,yes,no,no,no,-87,no,yes,,no,no,no,3100,2694,3961,-17,1802,2416,5258,David M. Maura,2695,2024
Spirit AeroSystems Holdings,Aerospace & Defense,Aerospace & Defense,Public,Kansas,645,no,no,no,yes,53,yes,no,,no,no,18235,3628,5030,27,-546,0,6666,Thomas C. Gentile III,3628,2023,565,no,no,no,yes,80,yes,no,,no,no,no,20655,4192,6048,20,-616,0,6950,Patrick M. Shanahan,4192,2024
Spirit Airlines,Transportation,Airlines,Public,Florida,643,no,no,no,yes,152,yes,no,,no,no,12025,1874,5068,57,-554,0,9185,Edward M. Christie III,1874,2023,615,no,no,no,yes,28,yes,no,,no,no,no,13167,530,5362,6,-448,0,9417,Edward M. Christie III,530,2024
Splunk,Technology,Computer Software,Private,California,795,no,no,no,yes,105,yes,no,,no,no,8000,15868,3654,37,-278,0,6344,Gary Steele,15868,2023,719,yes,no,no,no,76,yes,no,,no,no,no,7500,0,4216,15,264,0,6687,Gary Steele,15868,2024
Sprouts Farmers Market,Food & Drug Stores,Food & Drug Stores,Public,Arizona,541,yes,no,no,no,-21,no,yes,,no,no,31000,3611,6404,5,261,7,3070,Jack L. Sinclair,3611,2023,520,yes,no,no,yes,21,yes,no,,no,no,no,32000,6526,6837,7,259,-1,3327,Jack L. Sinclair,6526,2024
SS&C Technologies Holdings,Technology,Computer Software,Public,Connecticut,625,yes,yes,no,yes,-24,no,yes,,no,no,27600,14158,5283,5,650,-19,16653,William C. Stone,14158,2023,600,yes,yes,no,no,25,yes,no,,no,no,no,26600,15907,5503,4,607,-7,18102,William C. Stone,15907,2024
Stagwell,Business Services,"Advertising, marketing",Public,New York,947,yes,no,no,yes,0,,,,no,no,11100,2171,2688,83,27,30,3993,Mark Penn,2171,2023,993,yes,yes,no,no,-46,no,yes,,no,no,no,10250,1670,2527,-6,0,-100,3767,Mark Penn,1670,2024
Stanley Black & Decker,Household Products,"Home Equipment, Furnishings",Public,Connecticut,227,yes,no,no,no,-15,no,yes,no,no,no,54200,12333,18004,4,1063,-37,24963,Donald Allan Jr.,12333,2023,263,no,no,no,no,-36,no,yes,no,no,yes,no,50500,15062,15781,-12,-310,-129,23664,Donald Allan Jr.,15062,2024
Starbucks,"Hotels, Restaurants & Leisure",Food Services,Public,Washington,125,yes,no,no,yes,-5,no,yes,no,yes,no,402000,119677,32250,11,3282,-22,27978,Laxman Narasimhan,115706,2023,116,yes,no,no,no,9,yes,no,no,yes,yes,no,381000,103472,35976,12,4124,26,29446,Rachel Ruggeri,82404,2024
State Farm Insurance,Financials,Insurance: Property and Casualty (Mutual),Private,Illinois,44,no,no,no,yes,-2,no,yes,no,yes,no,60519,0,89328,9,-6654,-620,318243,Michael L. Tipsord,0,2023,39,no,no,no,yes,5,yes,no,no,yes,no,no,65054,0,104199,17,-6272,0,339485,Michael L. Tipsord,0,2024
State Street,Financials,Commercial Banks,Public,Massachusetts,305,yes,no,no,yes,11,yes,no,no,no,no,42226,26074,13692,14,2774,3,301450,Ronald P. O&#039;Hanley,26074,2023,225,yes,no,no,yes,80,yes,no,no,no,yes,no,46451,23346,18366,34,1944,-30,297258,Ronald P. O'Hanley,23346,2024
Steel Dynamics,Materials,Metals,Public,Indiana,176,yes,yes,no,yes,20,yes,no,no,no,no,12060,19286,22261,21,3863,20,14160,Mark D. Millett,19286,2023,221,yes,yes,no,yes,-45,no,yes,no,no,yes,no,12600,23412,18795,-16,2451,-36,14908,Mark D. Millett,23413,2024
Steelcase,Household Products,"Home Equipment, Furnishings",Public,Michigan,929,yes,no,yes,yes,-20,no,yes,,no,no,12250,951,2773,7,4,-85,2261,Sara E. Armbruster,951,2023,854,yes,no,yes,no,75,yes,no,,no,yes,no,12250,1494,3233,17,35,782,2203,Sara E. Armbruster,1494,2024
Stepan,Chemicals,Chemicals,Public,Illinois,928,yes,no,no,yes,21,yes,no,,no,no,2453,2298,2773,18,147,7,2433,Scott R. Behrens,2298,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Stericycle,Business Services,Waste Management,Public,Illinois,944,yes,no,yes,no,-42,no,yes,,no,no,15360,4031,2705,2,56,0,5334,Cindy J. Miller,4031,2023,967,no,no,yes,no,-23,no,yes,,no,no,no,13948,4883,2659,-2,-21,-138,5353,Cindy J. Miller,4883,2024
Stewart Information Services,Financials,Insurance: Property and Casualty (Stock),Public,Texas,881,yes,no,no,no,-97,no,yes,,no,no,7100,1097,3069,-7,162,-50,2738,Frederick H. Eppinger,1097,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Stifel Financial,Financials,Securities,Public,Missouri,686,yes,no,no,yes,-61,no,yes,,no,no,9000,6305,4593,-4,662,-20,37196,Ronald J. Kruszewski,6305,2023,634,yes,no,no,no,52,yes,no,,no,no,no,9000,8036,5159,12,522,-21,37728,Ronald J. Kruszewski,8036,2024
StoneX Group,Financials,Diversified Financials,Public,New York,59,yes,no,no,yes,28,yes,no,no,yes,no,3615,2138,66036,55,207,78,19860,Sean M. O&#039;Connor,1852,2023,66,yes,no,no,yes,-7,no,yes,no,yes,no,no,4137,2217,60856,-8,238,15,21939,Sean M. O'Connor,2516,2024
Stryker,Health Care,Medical Products and Equipment,Public,Michigan,224,yes,no,no,yes,-10,no,yes,no,no,yes,51000,108228,18449,8,2358,18,36884,Kevin A. Lobo,108228,2023,197,yes,no,no,yes,27,yes,no,no,no,yes,yes,52000,136159,20498,11,3165,34,39912,Kevin A. Lobo,136159,2024
Summit Materials,Materials,"Building Materials, Glass",Public,Colorado,998,yes,no,yes,no,-61,no,yes,,no,no,4800,3374,2413,0,272,79,4256,Anne P. Noonan,3374,2023,973,yes,no,yes,yes,25,yes,no,,no,no,no,5300,7767,2620,9,286,5,5150,Anne P. Noonan,7767,2024
Sun Communities,Financials,Real estate,Public,Michigan,899,yes,no,no,yes,65,yes,no,,no,no,7397,17531,2970,31,242,-36,17084,Gary A. Shiffman,17531,2023,855,no,no,no,no,44,yes,no,,no,no,no,6757,15997,3225,9,-213,-188,16941,Gary A. Shiffman,15997,2024
Super Micro Computer,Technology,"Computers, Office Equipment",Public,California,636,yes,yes,no,yes,107,yes,no,,no,no,4607,5715,5196,46,285,155,3205,Charles Liang,5715,2023,498,yes,yes,no,yes,138,yes,no,yes,no,no,no,5126,59138,7124,37,640,124,3675,Charles Liang,59138,2024
Surgery Partners,Health Care,Health Care: Medical Facilities,Public,Tennessee,978,no,no,no,yes,-2,no,yes,,no,no,10650,4344,2539,14,-55,0,6682,J. Eric Evans,4344,2023,948,no,no,no,yes,30,yes,no,,no,no,no,12000,3777,2743,8,-12,0,6877,J. Eric  Evans,3777,2024
SVB Financial Group,Financials,Commercial Banks,Public,California,491,yes,no,no,yes,33,yes,no,yes,no,no,8553,54,7401,23,1672,-9,211793,William Kosturos,54,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Sylvamo,Materials,Forest and Paper Products,Public,Tennessee,727,yes,no,no,,0,,,,no,no,6500,1960,4146,0,118,0,2710,,1960,2023,790,yes,no,no,no,-63,no,yes,,no,no,no,6500,2560,3721,-10,253,114,2872,Jean-Michel Ribi?ras,2560,2024
Synchrony Financial,Financials,Diversified Financials,Public,Connecticut,235,yes,no,no,yes,1,yes,no,no,no,yes,18500,12709,17526,11,3016,-28,104564,Brian D. Doubles,12709,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Syneos Health,Health Care,Health Care: Pharmacy and Other Services,Public,North Carolina,616,yes,no,yes,yes,-32,no,yes,,no,no,29290,3678,5393,4,267,14,8199,Michelle Keefe,3678,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Synopsys,Technology,Computer Software,Public,California,642,yes,yes,no,yes,32,yes,no,,no,no,19000,58827,5082,21,985,30,9418,Aart J. de Geus,58827,2023,584,yes,no,no,yes,58,yes,no,,no,no,no,20300,87179,5843,15,1230,25,10333,Sassine Ghazi,87179,2024
Synovus Financial,Financials,Commercial Banks,Public,Georgia,989,yes,no,no,yes,0,,,,no,no,5027,4503,2485,18,758,0,59731,Kevin S. Blair,4503,2023,826,yes,no,no,no,163,yes,no,,no,no,no,4798,5866,3454,39,544,-28,59810,Kevin S. Blair,5866,2024
Sysco,Wholesalers,Wholesalers: Food and Grocery,Public,Texas,56,yes,no,no,yes,14,yes,no,no,yes,no,70510,39202,68636,34,1359,159,22086,Kevin P. Hourican,37196,2023,54,yes,no,no,yes,2,yes,no,no,yes,no,no,71750,40414,76325,11,1770,30,22821,Kevin P. Hourican,35755,2024
T. Rowe Price,Financials,Securities,Public,Maryland,537,yes,no,no,yes,-94,no,yes,,no,no,7868,25348,6488,-15,1558,-50,11643,Robert W. Sharps,25348,2023,543,yes,no,no,yes,-6,no,yes,,no,yes,no,7906,27267,6460,0,1789,15,12279,Robert W. Sharps,27267,2024
Take-Two Interactive Software,Media,Entertainment,Public,New York,818,yes,no,no,yes,-48,no,yes,,no,no,7799,20123,3505,4,418,-29,6546,Strauss H. Zelnick,20123,2023,617,no,no,no,yes,201,yes,no,,no,no,no,11580,25330,5350,53,-1125,-369,15862,Strauss H. Zelnick,25330,2024
Tapestry,Apparel,Apparel,Public,New York,527,yes,no,yes,yes,14,yes,no,,no,no,15350,10177,6685,16,856,3,7265,Joanne C. Crevoiserat,10177,2023,531,yes,no,yes,yes,-4,no,yes,,no,yes,no,15550,10890,6661,0,936,9,7117,Joanne C. Crevoiserat,10890,2024
Targa Resources,Energy,Pipelines,Public,Texas,188,yes,no,no,yes,28,yes,no,no,no,no,2850,16507,20930,24,1196,1579,19560,Matthew J. Meloy,16507,2023,256,yes,no,no,yes,-68,no,yes,no,no,no,no,3182,24922,16060,-23,1346,13,20672,Matthew J. Meloy,24922,2024
Target,Retailing,General Merchandisers,Public,Minnesota,33,yes,no,no,no,-1,no,yes,no,yes,yes,440000,76250,109120,3,2780,-60,53335,Brian C. Cornell,60007,2023,37,yes,no,no,no,-4,no,yes,no,yes,yes,yes,415000,81816,107412,-2,4138,49,55356,Brian C. Cornell,69997,2024
Taylor Morrison Home,Engineering & Construction,Homebuilders,Public,Arizona,457,yes,no,yes,no,-4,no,yes,no,no,no,3000,4144,8225,10,1053,59,8471,Sheryl D. Palmer,4144,2023,483,yes,no,yes,no,-26,no,yes,no,no,no,no,2800,6617,7418,-10,769,-27,8672,Sheryl D. Palmer,6617,2024
TD Synnex,Wholesalers,Wholesalers: Electronics and Office Equipment,Public,California,64,yes,no,no,yes,45,yes,no,no,yes,no,28500,9061,62344,97,651,65,29734,Richard T. Hume,9199,2023,71,yes,no,no,no,-7,no,yes,no,yes,yes,no,28000,9857,57555,-8,627,-4,29413,Patrick  Zammit/Richard T. Hume,9836,2024
TEGNA,Media,Entertainment,Public,Virginia,856,yes,no,no,yes,-24,no,yes,,no,no,6300,3780,3279,10,631,32,7329,David T. Lougee,3780,2023,908,yes,no,no,no,-52,no,yes,,no,no,no,6200,2631,2911,-11,477,-24,7000,Michael Steib,2631,2024
Teladoc Health,Health Care,Health Care: Pharmacy and Other Services,Public,New York,999,no,no,no,yes,0,,,,no,no,5208,4212,2407,18,-13660,0,4345,Jason Gorevic,4212,2023,977,no,no,yes,no,22,yes,no,,no,no,no,5208,2522,2602,8,-220,0,4392,Charles Divita III,2522,2024
Teledyne Technologies,Aerospace & Defense,Aerospace & Defense,Public,California,611,yes,no,no,yes,29,yes,no,,no,no,14700,21027,5459,18,789,77,14354,Robert Mehrabian,21027,2023,592,yes,no,no,yes,19,yes,no,,no,no,no,14900,20342,5636,3,886,12,14528,Edwin Roks,20342,2024
Teleflex,Health Care,Medical Products and Equipment,Public,Pennsylvania,921,yes,no,no,yes,-48,no,yes,,no,no,15500,11897,2791,-1,363,-25,6928,Liam J. Kelly,11897,2023,892,yes,no,no,no,29,yes,no,,no,no,no,14500,10643,2974,7,356,-2,7532,Liam J. Kelly,10643,2024
Telephone & Data Systems,Telecommunications,Telecommunications,Public,Illinois,615,yes,no,no,yes,-42,no,yes,,no,no,9300,1182,5413,2,62,-60,14550,LeRoy T. Carlson Jr.,1182,2023,633,no,no,no,no,-18,no,yes,,no,no,no,8800,1810,5160,-5,-500,-906,13921,LeRoy T. Carlson Jr.,1810,2024
TelevisaUnivision,Media,Entertainment,Private,New York,680,no,no,no,,186,yes,no,,no,no,14000,0,4626,63,-1529,-1244,17494,Wade C. Davis,0,2023,649,no,no,no,no,31,yes,no,,no,no,no,14000,0,4928,6,-874,0,17298,Wade C. Davis,0,2024
Tempur Sealy International,Household Products,"Home Equipment, Furnishings",Public,Kentucky,655,yes,no,no,no,-40,no,yes,,no,no,12000,6795,4921,0,456,-27,4360,Scott L. Thompson,6795,2023,650,yes,no,no,no,5,yes,no,,no,no,no,12000,9865,4925,0,368,-19,4554,Scott L. Thompson,9865,2024
Tenet Healthcare,Health Care,Health Care: Medical Facilities,Public,Texas,215,yes,no,no,yes,-34,no,yes,no,no,no,89088,6077,19174,-2,411,-55,27156,Saumya Sutaria,6077,2023,195,yes,no,no,yes,20,yes,no,no,no,no,no,95905,10510,20548,7,611,49,28312,Saumya Sutaria,10511,2024
Teradyne,Technology,Semiconductors and Other Electronic Components,Public,Massachusetts,872,yes,no,no,yes,-146,no,yes,,no,no,6500,16745,3155,-15,716,-30,3501,Gregory S. Smith,16745,2023,962,yes,no,no,no,-90,no,yes,,no,no,no,6500,17260,2676,-15,449,-37,3487,Gregory S. Smith,17260,2024
Terex,Industrials,Construction and Farm Machinery,Public,Connecticut,702,yes,no,no,yes,4,yes,no,,no,no,9300,3295,4418,14,300,36,3118,John L. Garrison Jr.,3295,2023,636,yes,no,no,yes,66,yes,no,,no,no,no,10200,4315,5152,17,518,73,3616,Simon  Meester,4315,2024
Tesla,Motor Vehicles & Parts,Motor Vehicles & Parts,Public,Texas,50,yes,yes,no,yes,15,yes,no,no,yes,no,127855,656425,81462,51,12556,128,82338,Elon Musk,920361,2023,40,yes,yes,no,yes,10,yes,no,no,yes,no,no,140473,559854,96773,19,14997,19,106618,Elon Musk,805719,2024
Tetra Tech,Engineering & Construction,Engineering & Construction,Public,California,819,yes,no,no,no,-20,no,yes,,no,no,21000,7820,3504,9,263,13,2623,Dan L. Batrack,7820,2023,684,yes,no,no,yes,135,yes,no,,no,no,no,27000,9876,4523,29,273,4,3820,Dan L. Batrack,9876,2024
Texas Instruments,Technology,Semiconductors and Other Electronic Components,Public,Texas,200,yes,no,no,yes,-2,no,yes,no,no,no,33000,168775,20028,9,8749,13,27207,Haviv Ilan,168775,2023,234,yes,no,no,yes,-34,no,yes,no,no,no,no,34000,158541,17519,-12,6510,-26,32348,Haviv Ilan,158541,2024
Texas Roadhouse,"Hotels, Restaurants & Leisure",Food Services,Public,Kentucky,740,yes,no,no,yes,17,yes,no,,no,no,82000,7244,4015,16,270,10,2526,Gerald L. Morgan,7244,2023,674,yes,no,no,yes,66,yes,no,,no,no,no,91000,10323,4632,15,305,13,2793,Gerald L. Morgan,10323,2024
Textron,Aerospace & Defense,Aerospace & Defense,Public,Rhode Island,318,yes,no,no,yes,-16,no,yes,no,no,no,34000,14385,12869,4,861,15,16293,Scott C. Donnelly,14385,2023,308,yes,no,no,yes,10,yes,no,no,no,yes,no,35000,18500,13683,6,921,7,16856,Scott C. Donnelly,18501,2024
Thermo Fisher Scientific,Technology,"Scientific,Photographic and  Control Equipment",Public,Massachusetts,97,yes,no,no,yes,-5,no,yes,no,yes,no,130000,222150,44915,14,6950,-10,97154,Marc N. Casper,202604,2023,101,yes,no,no,no,-4,no,yes,no,yes,yes,no,122000,221622,42857,-5,5995,-14,98726,Marc N. Casper,207913,2024
Thor Industries,Motor Vehicles & Parts,Motor Vehicles & Parts,Public,Indiana,254,yes,no,no,yes,52,yes,no,no,no,no,32000,4262,16313,32,1138,72,7408,Robert W. Martin,4262,2023,366,yes,no,no,no,-112,no,yes,no,no,no,no,24900,6257,11122,-32,374,-67,7261,Robert W. Martin,6257,2024
Thrivent Financial for Lutherans,Financials,"Insurance: Life, Health (Mutual)",Private,Minnesota,412,yes,no,yes,yes,-61,no,yes,no,no,no,3692,0,9347,-9,1085,-57,110100,Teresa J. Rasmussen,0,2023,405,yes,no,yes,yes,7,yes,no,no,no,no,no,3810,0,9720,4,347,-68,115629,Teresa J. Rasmussen,0,2024
TIAA,Financials,"Insurance: Life, Health (Mutual)",Private,New York,103,yes,no,yes,yes,-13,no,yes,no,yes,no,16070,0,40911,1,494,-88,634457,Thasunda Brown Duckett,0,2023,96,no,no,yes,no,7,yes,no,no,yes,yes,no,16023,0,45735,12,-1409,-385,629370,Thasunda Brown Duckett,0,2024
Timken,Industrials,Industrial Machinery,Public,Ohio,696,yes,no,no,yes,-17,no,yes,,no,no,19404,5934,4497,9,407,10,5772,Richard G. Kyle,5934,2023,662,yes,no,no,yes,34,yes,no,,no,no,no,19602,6154,4769,6,394,-3,6542,Richard G. Kyle,6154,2024
TJX,Retailing,Specialty Retailers: Apparel,Public,Massachusetts,87,yes,no,no,no,-12,no,yes,no,yes,no,329000,90315,49936,3,3498,7,28349,Ernie L. Herrman,97800,2023,80,yes,no,no,yes,7,yes,no,no,yes,yes,no,349000,115586,54217,9,4474,28,29747,Ernie L. Herrman,128622,2024
Toast,Business Services,Financial Data Services,Public,Massachusetts,937,no,no,no,yes,0,,,,no,no,4500,9351,2731,60,-275,0,1761,Christopher P. Comparato,9351,2023,766,no,yes,no,yes,171,yes,no,,no,no,no,5500,13656,3865,42,-246,0,1958,Aman Narang,13656,2024
Toll Brothers,Engineering & Construction,Homebuilders,Public,Pennsylvania,382,yes,no,no,yes,15,yes,no,no,no,no,5200,6647,10276,17,1287,54,12289,Douglas C. Yearley Jr.,6647,2023,394,yes,no,no,no,-12,no,yes,no,no,yes,no,4800,13476,9995,-3,1372,7,12527,Douglas C. Yearley Jr.,13477,2024
TopBuild,Engineering & Construction,Engineering & Construction,Public,Florida,647,yes,no,no,yes,108,yes,no,,no,no,13119,6609,5009,44,556,72,4607,Robert M. Buck,6609,2023,630,yes,no,no,yes,17,yes,no,,no,no,no,14012,14022,5195,4,614,10,5163,Robert M. Buck,14022,2024
Topgolf Callaway Brands,"Hotels, Restaurants & Leisure","Toys, Sporting Goods",Public,California,743,yes,no,no,yes,68,yes,no,,no,no,32000,4006,3996,28,158,-51,8590,Oliver G. Brewer III,4006,2023,707,yes,no,no,no,36,yes,no,,no,no,no,32000,2969,4285,7,95,-40,9121,Oliver G. Brewer III,2969,2024
Toro,Industrials,Construction and Farm Machinery,Public,Minnesota,694,yes,no,no,yes,3,yes,no,,no,no,11287,11592,4515,14,443,8,3556,Richard M. Olson,11592,2023,682,yes,no,no,no,12,yes,no,,no,yes,no,10706,9567,4553,1,330,-26,3644,Richard M. Olson,9567,2024
Tractor Supply,Retailing,Specialty Retailers: Other,Public,Tennessee,291,yes,no,no,yes,3,yes,no,no,no,no,36500,25830,14205,12,1089,9,8490,Harry A. Lawton III,25830,2023,293,yes,no,no,yes,-2,no,yes,no,no,no,no,37500,28248,14556,2,1107,2,9188,Harry A. Lawton III,28248,2024
TransDigm Group,Aerospace & Defense,Aerospace & Defense,Public,Ohio,613,yes,no,no,yes,11,yes,no,,no,no,14400,40242,5429,13,866,27,18107,Kevin M. Stein,40242,2023,537,yes,no,no,yes,76,yes,no,,no,no,no,15500,68485,6585,21,1298,50,19970,Kevin M. Stein,68485,2024
TransUnion,Business Services,Financial Data Services,Public,Illinois,782,yes,no,no,yes,27,yes,no,,no,no,12200,12003,3747,19,270,-81,11666,Christopher A. Cartwright,12003,2023,769,no,no,no,yes,13,yes,no,,no,no,no,13200,15500,3831,2,-206,-176,11105,Christopher A. Cartwright,15500,2024
Travel + Leisure,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Public,Florida,808,yes,no,no,yes,2,yes,no,,no,no,18200,3040,3567,14,357,16,6757,Michael D. Brown,3040,2023,783,yes,no,no,yes,25,yes,no,,no,yes,no,19000,3478,3750,5,396,11,6738,Michael D. Brown,3478,2024
TravelCenters of America,Retailing,Specialty Retailers: Other,Private,Ohio,372,yes,no,no,yes,89,yes,no,no,no,no,17195,1306,10845,48,164,180,3653,Jonathan M. Pertchik,1306,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Travelers,Financials,Insurance: Property and Casualty (Stock),Public,New York,112,yes,no,no,yes,-9,no,yes,no,yes,no,32175,39783,36884,6,2842,-22,115717,Alan D. Schnitzer,38940,2023,105,yes,no,no,yes,7,yes,no,no,yes,yes,no,33133,52731,41364,12,2991,5,125978,Alan D. Schnitzer,48867,2024
TreeHouse Foods,"Food, Beverages & Tobacco",Food Consumer Products,Public,Illinois,677,no,no,no,no,-20,no,yes,,no,no,7500,2830,4636,5,-146,0,4254,Steven T. Oakland,2830,2023,809,yes,no,no,no,-132,no,yes,,no,no,no,7400,2098,3553,-23,53,0,4107,Steven T. Oakland,2098,2024
